ECONOMIC SECTOR,BUSINESS SECTOR,INDUSTRY GROUP,INDUSTRY,PermID,TRBC 2012 Hierarchical ID
,,,Household Products,4294952883,54201010
,,,Personal Products,4294952882,54201020
,,,Personal Services,4294952881,54201030
,Food & Drug Retailing,,,4294952880,5430
,,Food & Drug Retailing,,4294952879,543010
,,,Drug Retailers,4294952878,54301010
,,,Food Retail & Distribution,4294952877,54301020
Financials,,,,4294952740,55
,Banking & Investment Services,,,4294952739,5510
,,Banking Services,,4294952874,551010
,,,Banks,4294952873,55101010
,,,Consumer Lending,4294952872,55101030
,,,Corporate Financial Services,4294952870,55101050
,,Investment Banking & Investment Services,,4294952738,551020
,,,Investment Banking & Brokerage Services,4294952794,55102010
,,,Investment Management & Fund Operators,4294952793,55102020
,,,Diversified Investment Services,4294952792,55102030
,,,Financial & Commodity Market Operators,4294952790,55102050
,Insurance,,,4294952866,5530
,,Insurance,,4294952865,553010
,,,Multiline Insurance & Brokers,4294952734,55301010
,,,Property & Casualty Insurance,4294952863,55301020
,,,Life & Health Insurance,4294952862,55301030
,,,Reinsurance,4294952861,55301050
,Real Estate,,,4294952860,5540
,,Real Estate Operations,,4294952858,554020
,,,Real Estate Development & Operations,4294952788,55402010
,,,Real Estate Services,4294952787,55402020
,,Residential & Commercial REITs,,4294952857,554030
,,,Diversified REITs,4294952786,55403010
,,,Commercial REITs,4294952785,55403020
,,,Residential REITs,4294952784,55403030
,,,Specialized REITs,4294952733,55403040
,Collective Investments,,,4294952732,5550
,,Collective Investments,,4294952731,555010
,,,Investment Trusts,4294952730,55501010
,,,Mutual Funds,4294952729,55501020
,,,Closed End Funds,4294952728,55501030
,,,Exchange Traded Funds,4294952727,55501040
,,,Pension Funds,4294952726,55501050
,,,Insurance Funds,4294952725,55501060
,Investment Holding Companies,,,4294952737,5560
,,Investment Holding Companies,,4294952736,556010
,,,Holding Companies,4294952735,55601010
Healthcare,,,,4294952853,56
,Healthcare Services  & Equipment,,,4294952852,5610
,,Healthcare Equipment & Supplies,,4294952851,561010
,,,Advanced Medical Equipment & Technology,4294952850,56101010
,,,"Medical Equipment, Supplies & Distribution",4294952849,56101020
,,Healthcare Providers & Services,,4294952848,561020
,,,Healthcare Facilities & Services,4294952847,56102010
,,,Managed Healthcare,4294952846,56102020
,Pharmaceuticals & Medical  Research,,,4294952845,5620
,,Pharmaceuticals,,4294952844,562010
,,,Pharmaceuticals,4294952724,56201040
,,Biotechnology & Medical  Research,,4294952783,562020
,,,Biotechnology & Medical Research,4294952842,56202010
Technology,,,,4294952723,57
,Technology Equipment,,,4294952722,5710
,,Semiconductors & Semiconductor Equipment,,4294952838,571010
,,,Semiconductors,4294952837,57101010
,,,Semiconductor Equipment & Testing,4294952836,57101020
,,Communications & Networking,,4294952721,571020
,,,Communications & Networking,4294952720,57102010
,,Electronic Equipment & Parts,,4294952713,571040
,,,Electronic Equipments & Parts,4294952712,57104010
,,Office Equipment,,4294952715,571050
,,,Office Equipment,4294952831,57105010
,,"Computers, Phones & Household Electronics",,4294952719,571060
,,,Computer Hardware,4294952832,57106010
,,,Phones & Handheld Devices,4294952717,57106020
,,,Household Electronics,4294952716,57106030
,Software & IT Services,,,4294952830,5720
,,Software & IT Services,,4294952829,572010
,,,IT Services & Consulting,4294952711,57201010
,,,Software,4294952827,57201020
,,,Internet Services,4294952710,57201030
Telecommunications Services,,,,4294952826,58
,Telecommunications Services,,,4294952825,5810
,,Telecommunications Services,,4294952824,581010
,,,Integrated Telecommunications Services,4294952823,58101010
,,,Wireless Telecommunications Services,4294952822,58101020
Utilities,,,,4294952821,59
,Utilities,,,4294952820,5910
,,Electric  Utilities  & IPPs,,4294952819,591010
,,,Utilities - Electric,4294952818,59101010
,,,Independent Power Producers,4294952709,59101020
,,Natural Gas Utilities,,4294952817,591020
,,,Natural Gas Utilities,4294952816,59102010
,,Water & Related Utilities,,4294952815,591030
,,,Water Utilities,4294952814,59103010
,,Multiline Utilities,,4294952813,591040
,,,Multiline Utilities,4294952812,59104010
